danceability,energy,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_min,is_short_track,energy_x_danceability,acoustic_minus_energy,explicit_int,macro_classical,macro_electronic,macro_folk_country,macro_hiphop_rnb,macro_jazz_blues,macro_latin,macro_metal,macro_mood_other,macro_pop,macro_reggae,macro_rock,macro_world,key_0,key_1,key_2,key_3,key_4,key_5,key_6,key_7,key_8,key_9,key_10,key_11,ts_3,ts_4,ts_5,popularity,is_hit
0.488,0.588,-5.929,1,0.0298,0.157,1.53e-06,0.111,0.156,75.982,6.3467,0,0.286944,-0.43099999999999994,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,49,0
0.778,0.642,-12.971,1,0.04,0.0267,0.878,0.0854,0.0367,124.005,9.370466666666667,0,0.49947600000000003,-0.6153,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,40,0
0.51,0.663,-5.389,1,0.0351,0.447,0.0,0.104,0.198,124.157,5.04085,0,0.33813000000000004,-0.21600000000000003,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,27,0
0.339,0.752,-8.477,1,0.036,1.64e-05,0.133,0.129,0.552,139.918,3.8406666666666665,0,0.25492800000000004,-0.7519836,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,17,0
0.315,0.955,-5.02,0,0.194,1.42e-05,0.0648,0.512,0.316,59.212,0.9609833333333333,1,0.300825,-0.9549858,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,16,0
0.428,0.877,-4.722,0,0.0835,0.00153,0.00372,0.0943,0.113,75.518,3.683333333333333,0,0.37535599999999997,-0.87547,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,65,0
0.707,0.741,-2.989,0,0.148,0.387,0.0,0.287,0.82,159.924,2.5952166666666665,0,0.523887,-0.354,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,44,0
0.576,0.686,-6.712,1,0.0405,0.636,0.0,0.0971,0.478,145.827,3.5604833333333334,0,0.395136,-0.050000000000000044,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,38,0
0.447,0.592,-3.015,0,0.0319,0.0575,4.47e-06,0.13,0.283,78.039,4.4462166666666665,0,0.26462399999999997,-0.5345,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,71,1
0.357,0.8,-8.231,0,0.0359,0.00376,8.55e-06,0.4,0.782,138.014,2.67,0,0.2856,-0.7962400000000001,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22,0
